用户码,性别,玫瑰套餐,紫罗兰套餐,郁金香套餐,百合套餐,康乃馨套餐,胡姬花套餐,生日套餐,情人节套餐,会员卡类型,入会月数,会费支付方式,平均月消费,总消费,已停付会费
2887,男,是,是,否,否,是,是,是,是,双年卡,29,手工转账,75.55,2054.4,否
2888,女,否,否,否,否,否,否,是,是,月卡,7,就餐时付费,89.15,574.35,否
2889,男,否,否,否,是,是,否,否,否,年卡,69,微信自动扣款,35.75,2492.25,否
2890,女,否,否,是,否,否,否,否,否,月卡,9,花呗付款,74.25,639.65,是
2891,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,4,花呗付款,24.1,73.1,否
2892,女,否,否,是,是,是,是,是,是,年卡,35,微信自动扣款,110.8,3836.3,否
2893,男,否,否,否,是,否,是,是,是,双年卡,71,就餐时付费,106.8,7623.2,否
2894,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,58,花呗付款,24.5,1497.9,否
2895,女,否,否,否,否,否,是,是,是,年卡,12,手工转账,75.85,854.45,否
2896,男,是,否,是,否,否,否,否,是,月卡,9,就餐时付费,88.05,801.3,否
2897,男,否,否,否,否,否,否,是,是,月卡,22,花呗付款,94.65,2104.55,是
2898,女,是,否,否,否,是,否,是,是,月卡,47,就餐时付费,99.7,4747.2,否
2899,女,否,是,否,是,否,是,是,是,双年卡,67,就餐时付费,104,7039.05,否
2900,女,否,否,否,是,否,否,否,否,月卡,5,微信自动扣款,50.55,244.75,否
2901,女,否,否,否,否,否,是,是,是,月卡,4,手工转账,100.85,399.25,否
2902,男,是,否,是,否,否,否,否,是,月卡,52,就餐时付费,39.9,2020.9,否
2903,男,是,否,是,是,否,是,否,否,月卡,28,手工转账,60.9,1785.65,否
2904,女,是,是,是,否,是,是,是,否,年卡,55,就餐时付费,76.25,4154.55,否
2905,女,否,否,否,否,是,是,否,是,双年卡,50,微信自动扣款,89.7,4304.5,否
2906,男,否,否,是,否,否,否,否,是,月卡,2,手工转账,90.75,174.75,否
2907,男,否,否,否,是,否,否,否,否,月卡,51,微信自动扣款,81,4085.75,否
2908,女,是,是,是,是,是,是,是,是,双年卡,72,微信自动扣款,64.45,4528,否
2909,男,是,是,是,否,否,是,否,否,月卡,31,微信自动扣款,35.4,1077.5,是
2910,男,否,否,是,否,否,是,否,是,月卡,51,花呗付款,44.45,2181.55,否
2911,女,否,否,否,否,是,否,是,否,月卡,3,就餐时付费,86.85,220.95,是
2912,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,5,花呗付款,19.85,108.05,是
2913,男,否,否,否,是,否,否,否,是,月卡,52,就餐时付费,85.35,4338.6,是
2914,男,是,否,否,是,否,否,否,否,月卡,5,就餐时付费,81.3,416.3,是
2915,女,否,否,否,否,是,否,是,是,月卡,8,就餐时付费,92.1,729.95,是
2916,男,否,否,否,否,否,否,否,否,月卡,1,手工转账,44.6,44.6,否
2917,男,是,否,否,是,否,是,否,是,月卡,13,微信自动扣款,89.05,1169.35,是
2918,女,否,否,否,是,否,否,是,是,双年卡,63,微信自动扣款,97.45,6253,否
2919,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,8,就餐时付费,19.65,164.3,是
2920,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,46,微信自动扣款,24.45,1066.15,否
2921,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,35,就餐时付费,25.6,901.25,否
2922,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,51,就餐时付费,19.1,1007.8,否
2923,女,是,是,否,是,否,是,否,是,年卡,41,微信自动扣款,66.5,2728.6,是
2924,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,67,花呗付款,25.1,1672.15,否
2925,男,是,否,是,是,是,否,是,是,月卡,54,就餐时付费,109.55,6118.95,否
2926,男,否,否,否,是,否,是,否,否,月卡,12,手工转账,34,442.45,否
2927,男,是,否,是,是,否,是,否,否,双年卡,70,花呗付款,88,5986.45,否
2928,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,10,微信自动扣款,19.8,196.75,否
2929,女,否,否,否,是,是,否,否,是,月卡,21,就餐时付费,90.05,1862.9,否
2930,男,否,否,否,是,否,是,否,否,月卡,31,就餐时付费,78.45,2435.15,是
2931,女,是,是,是,否,否,是,是,否,月卡,3,手工转账,88.3,273.75,是
2932,男,是,是,否,是,否,否,否,是,年卡,63,就餐时付费,91.35,5764.7,否
2933,女,否,否,否,是,否,是,否,是,年卡,36,手工转账,70.7,2511.95,否
2934,女,否,否,否,是,否,否,是,是,年卡,46,花呗付款,95.25,4424.2,是
2935,男,是,否,是,是,是,是,是,否,月卡,57,就餐时付费,103.05,5925.75,否
2936,女,是,否,是,是,否,是,是,否,双年卡,57,花呗付款,70.35,4124.65,否
2937,男,否,否,否,否,否,否,否,否,年卡,26,花呗付款,51.55,1295.4,否
2938,女,是,是,否,否,是,是,否,否,月卡,10,花呗付款,55.2,528.35,是
2939,男,否,否,否,是,否,是,是,是,月卡,63,就餐时付费,105.4,6713.2,否
2940,男,是,否,否,否,是,否,是,是,月卡,5,就餐时付费,94.45,498.1,是
2941,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,72,微信自动扣款,24.75,1769.6,否
2942,女,否,否,否,否,否,否,否,否,月卡,1,手工转账,45.1,45.1,是
2943,女,是,是,否,是,否,是,否,是,月卡,59,微信自动扣款,96.65,5580.8,否
2944,女,是,是,是,否,否,是,否,否,双年卡,54,微信自动扣款,60,3273.95,否
2945,女,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,25.25,25.25,否
2946,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,69,微信自动扣款,24.45,1718.2,否
2947,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,2,手工转账,20.35,33.2,是
2948,女,否,否,是,否,否,是,否,否,年卡,12,手工转账,33.6,435.45,否
2949,男,是,否,否,是,否,是,是,是,双年卡,67,微信自动扣款,102.9,6989.7,否
2950,女,否,否,是,否,是,否,否,否,月卡,1,就餐时付费,55.8,55.8,是
2951,女,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,28,手工转账,20.25,535.35,否
2952,男,否,否,否,否,否,否,否,否,月卡,2,手工转账,44.95,85.15,是
2953,女,否,否,否,否,否,否,否,是,月卡,4,就餐时付费,79.15,317.25,是
2954,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,20.25,20.25,是
2955,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,33,花呗付款,25.7,826.1,否
2956,女,是,否,否,否,是,是,是,是,月卡,61,就餐时付费,106.35,6751.35,否
2957,女,否,是,是,否,是,否,否,是,年卡,21,手工转账,64.85,1336.8,否
2958,男,否,否,否,否,是,否,否,否,月卡,2,手工转账,49.95,107.1,否
2959,男,否,否,否,是,否,是,是,否,月卡,8,就餐时付费,66.65,520.95,否
2960,女,是,是,是,是,是,否,是,否,年卡,68,花呗付款,73,5163,否
2961,男,否,否,否,是,否,否,否,是,月卡,4,就餐时付费,90.05,368.1,是
2962,男,否,否,否,否,否,否,否,否,月卡,6,就餐时付费,74.9,469.8,是
2963,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,72,微信自动扣款,25.65,1887,否
2964,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,就餐时付费,19.2,19.2,否
2965,男,否,否,否,否,否,否,是,否,月卡,2,就餐时付费,79.95,174.45,否
2966,女,否,否,否,否,否,否,否,否,月卡,2,就餐时付费,24.5,46.4,否
2967,女,是,是,否,是,否,是,是,是,月卡,5,手工转账,99.15,465.05,是
2968,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,2,手工转账,20,38,否
2969,男,否,否,否,否,否,否,否,否,月卡,1,手工转账,45.85,45.85,是
2970,男,是,否,否,是,否,否,否,否,月卡,61,就餐时付费,82.15,4904.85,否
2971,女,是,否,否,否,是,否,是,是,月卡,35,微信自动扣款,102.05,3452.55,否
2972,女,是,否,是,否,是,否,否,否,月卡,17,微信自动扣款,85.35,1463.45,是
2973,男,是,否,否,是,是,否,否,否,月卡,30,手工转账,79.65,2365.15,是
2974,男,是,是,是,是,否,否,否,是,月卡,60,就餐时付费,93.25,5774.55,否
2975,女,否,否,是,是,否,否,否,否,月卡,6,就餐时付费,56.25,389.1,是
2976,男,否,否,否,是,是,是,是,是,年卡,68,就餐时付费,108.45,7176.55,是
2977,女,是,否,是,是,是,是,是,是,双年卡,52,花呗付款,66.25,3330.1,否
2978,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,20.5,20.5,是
2979,女,否,是,否,否,否,是,否,否,月卡,5,手工转账,51,286.8,否
2980,女,否,否,否,否,否,否,是,是,月卡,6,花呗付款,45,298.7,否
2981,女,否,是,否,否,否,否,是,是,月卡,1,就餐时付费,89.35,89.35,否
2982,男,否,否,否,是,否,否,否,否,月卡,1,就餐时付费,74.35,74.35,是
2983,女,否,否,否,是,否,否,是,否,年卡,66,微信自动扣款,88.9,6000.1,否
2984,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,72,微信自动扣款,19.95,1322.85,否
2985,女,否,否,否,否,否,否,是,否,月卡,8,微信自动扣款,80.1,679.3,是
2986,男,是,是,是,否,否,是,是,是,月卡,24,微信自动扣款,81,1923.85,否
2987,男,是,否,否,是,是,否,否,否,月卡,8,手工转账,54.75,445.85,否
2988,男,否,否,是,是,是,是,是,是,年卡,68,花呗付款,117.2,8035.95,否
2989,女,否,否,否,否,否,否,否,否,月卡,9,就餐时付费,74.75,706.6,是
2990,男,是,否,否,否,否,否,否,否,月卡,38,就餐时付费,24.85,955.75,否
2991,男,否,否,是,否,否,是,否,是,月卡,9,手工转账,64.95,547.8,否
2992,男,否,否,否,否,是,否,否,否,月卡,19,就餐时付费,79.85,1471.75,是
2993,女,是,否,否,否,是,否,是,否,月卡,7,就餐时付费,86.25,587.1,是
2994,男,是,否,否,是,否,否,是,是,月卡,40,就餐时付费,101.3,4113.1,是
2995,男,是,否,否,否,否,是,否,否,月卡,3,微信自动扣款,79.65,251.75,是
2996,男,否,否,否,否,否,否,否,否,月卡,7,就餐时付费,69.55,521.35,否
2997,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,19.85,19.85,否
2998,女,否,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,7,手工转账,20.05,96.8,否
2999,女,是,是,否,是,否,否,否,是,年卡,28,就餐时付费,39.1,1096.6,否
3000,男,是,否,是,是,是,是,否,是,双年卡,72,微信自动扣款,82.3,5980.55,否
3001,女,是,是,否,是,否,是,是,是,双年卡,65,微信自动扣款,79.4,5071.9,否
3002,女,是,是,是,否,否,是,是,是,双年卡,56,花呗付款,72.6,4084.35,否
3003,男,是,否,否,否,是,是,是,是,月卡,15,就餐时付费,103.45,1539.8,否
3004,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,56,微信自动扣款,19.55,1080.55,否
3005,男,否,否,是,否,否,否,否,否,月卡,9,就餐时付费,81.15,784.45,否
3006,男,是,否,否,否,否,否,否,否,月卡,16,就餐时付费,75.4,1189.4,否
3007,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,69,花呗付款,20.55,1403.1,否
3008,女,是,否,是,是,是,是,是,是,双年卡,68,微信自动扣款,114.9,7843.55,否
3009,男,是,是,是,是,是,否,否,是,双年卡,50,微信自动扣款,75.15,3822.45,否
3010,男,是,否,是,否,是,否,否,是,月卡,53,就餐时付费,93.9,5029.2,是
3011,男,否,否,否,是,否,是,否,否,月卡,10,就餐时付费,35.75,389.8,否
3012,女,否,是,否,否,是,否,否,否,月卡,26,手工转账,29.8,786.5,否
3013,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,16,花呗付款,19.35,295.55,否
3014,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,72,手工转账,25.4,1710.9,否
3015,女,是,否,是,否,是,是,否,是,双年卡,70,微信自动扣款,49.85,3370.2,否
3016,女,否,否,是,否,否,是,是,是,月卡,12,微信自动扣款,98.9,1120.95,是
3017,男,否,是,是,否,否,否,否,否,月卡,17,手工转账,50.3,846.8,否
3018,男,否,否,否,是,否,否,否,否,月卡,1,就餐时付费,50.75,50.75,是
3019,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,10,手工转账,19.8,198.25,否
3020,男,否,否,否,否,否,否,是,否,月卡,7,手工转账,54.85,370.4,否
3021,男,是,是,否,是,是,是,否,是,年卡,68,微信自动扣款,75.8,5293.95,是
3022,男,是,是,是,否,否,是,否,否,月卡,7,就餐时付费,34.5,279.25,是
3023,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,13,手工转账,20,218.55,否
3024,女,是,否,否,是,否,是,是,是,年卡,70,微信自动扣款,105.55,7195.35,否
3025,女,是,是,否,是,是,否,否,否,月卡,10,手工转账,55.55,551.3,否
3026,女,否,否,是,否,是,否,否,否,月卡,5,花呗付款,55.8,300.4,否
3027,男,否,否,是,否,否,否,是,否,月卡,19,就餐时付费,90.6,1660,是
3028,女,否,否,否,否,否,是,否,是,年卡,39,就餐时付费,59.3,2209.15,否
3029,男,否,否,是,是,是,是,是,是,月卡,20,微信自动扣款,108.2,2203.7,否
3030,男,是,是,是,否,是,是,否,是,年卡,20,花呗付款,94.3,1818.3,否
3031,男,是,否,是,是,是,是,是,是,双年卡,72,花呗付款,64.95,4546,否
3032,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,62,花呗付款,25.8,1563.95,否
3033,女,否,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,24,手工转账,19.75,498.1,否
3034,男,是,否,否,否,否,否,是,否,月卡,21,微信自动扣款,54.6,1125.2,否
3035,女,否,否,否,否,否,否,否,否,月卡,2,就餐时付费,70.65,142.35,是
3036,女,是,是,是,否,是,是,是,否,年卡,48,微信自动扣款,69.7,3023.65,否
3037,男,否,否,是,否,否,否,否,否,月卡,7,手工转账,74.35,533.6,否
3038,男,否,否,否,否,是,否,否,否,月卡,1,就餐时付费,54.35,54.35,是
3039,女,是,否,否,是,是,是,是,是,年卡,53,微信自动扣款,108.95,5718.2,否
3040,女,否,否,否,否,否,否,是,否,月卡,1,花呗付款,55,55,是
3041,女,是,是,否,是,否,否,否,否,月卡,27,手工转账,49.85,1336.15,否
3042,女,是,是,否,否,否,否,是,是,年卡,56,微信自动扣款,88.9,4968,否
3043,男,是,是,是,否,是,否,是,是,双年卡,67,就餐时付费,79.7,5293.4,是
3044,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,17,花呗付款,20.05,337.9,否
3045,男,否,否,否,否,否,否,否,否,月卡,18,微信自动扣款,75.6,1395.05,否
3046,男,否,否,否,是,是,否,否,否,月卡,37,就餐时付费,36.65,1315,否
3047,女,否,否,是,是,是,是,是,是,月卡,41,微信自动扣款,114.5,4527.45,是
3048,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,48,花呗付款,20.15,982.95,否
3049,男,否,是,否,否,否,否,否,否,月卡,1,就餐时付费,44.4,44.4,是
3050,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,8,微信自动扣款,19.55,161.15,否
3051,女,否,否,否,是,否,是,是,是,双年卡,50,手工转账,100.2,5038.45,否
3052,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,0,手工转账,25.75, ,否
3053,女,否,否,否,否,否,否,否,否,月卡,1,手工转账,24.9,24.9,否
3054,男,否,否,否,是,否,是,是,是,年卡,56,微信自动扣款,75.75,4284.65,否
3055,男,否,否,是,否,否,否,是,否,月卡,6,微信自动扣款,85.15,503.6,是
3056,女,是,是,否,是,否,否,否,是,月卡,14,微信自动扣款,90.9,1259,是
3057,男,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,44.75,44.75,否
3058,男,否,否,是,是,是,是,是,是,年卡,34,花呗付款,116.25,3899.05,否
3059,男,是,是,是,是,是,是,是,是,双年卡,72,花呗付款,114.05,8468.2,否
3060,男,是,是,是,是,否,否,否,是,年卡,32,就餐时付费,90.8,3023.85,否
3061,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,17,手工转账,20.5,365.8,否
3062,男,是,是,是,是,是,否,是,是,双年卡,68,微信自动扣款,105.25,7173.15,否
3063,女,否,否,是,否,是,是,否,否,双年卡,47,手工转账,65,2879.9,否
3064,女,否,否,否,否,否,是,是,是,月卡,16,就餐时付费,94.45,1511.2,是
3065,男,是,是,否,是,否,是,否,否,月卡,44,微信自动扣款,54.9,2549.1,否
3066,女,是,否,是,否,是,否,是,是,双年卡,72,就餐时付费,105.5,7544,否
3067,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,3,花呗付款,20.55,51.15,是
3068,男,否,否,否,是,是,是,否,是,月卡,22,微信自动扣款,94.95,2142.8,否
3069,男,否,否,否,否,是,是,是,是,月卡,23,手工转账,104.05,2470.1,是
3070,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,3,手工转账,20.25,71.2,否
3071,男,否,否,是,是,是,否,是,是,年卡,44,就餐时付费,106.05,4510.8,否
3072,男,是,是,是,是,是,是,是,是,双年卡,70,花呗付款,114.75,7842.3,否
3073,男,否,否,否,是,否,否,否,是,月卡,5,就餐时付费,85.55,408.5,否
3074,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,4,就餐时付费,19.85,63,否
3075,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,4,手工转账,20.15,84.5,否
3076,女,否,否,否,否,否,是,是,否,月卡,3,就餐时付费,63.6,155.65,是
3077,男,否,否,是,否,是,否,是,否,月卡,54,手工转账,89.8,4667,否
3078,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,14,花呗付款,24.8,321.7,否
3079,女,否,否,是,是,是,是,是,否,年卡,25,手工转账,74.3,1863.8,是
3080,女,否,否,否,否,是,否,否,否,月卡,27,就餐时付费,78.05,2135.5,是
3081,女,是,否,是,否,是,是,是,是,年卡,12,就餐时付费,79.2,943.85,否
3082,女,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,74.5,74.5,是
3083,男,是,是,否,是,是,是,否,否,月卡,13,微信自动扣款,61.8,750.1,否
3084,男,是,是,否,否,否,是,是,是,双年卡,69,就餐时付费,99.35,6856.45,否
3085,女,否,是,否,否,否,否,否,否,月卡,35,手工转账,50.15,1655.35,否
3086,女,是,否,是,否,是,否,是,是,月卡,21,微信自动扣款,104.4,2200.25,是
3087,男,是,是,否,否,是,否,否,是,年卡,64,花呗付款,90.25,5629.15,否
3088,男,否,否,否,否,否,否,是,是,月卡,2,就餐时付费,93.85,196.75,是
3089,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,20,花呗付款,19.35,433.75,否
3090,男,否,否,否,否,否,是,否,否,月卡,26,微信自动扣款,49.15,1237.3,否
3091,男,否,否,否,是,否,是,否,否,月卡,3,手工转账,36.85,108.7,是
3092,女,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,4,手工转账,25.45,84.2,否
3093,女,是,是,是,是,是,是,是,否,月卡,7,就餐时付费,75.7,554.05,否
3094,男,否,否,否,否,否,否,否,否,月卡,2,手工转账,44.65,74.9,是
3095,男,是,否,否,否,是,否,是,是,月卡,46,就餐时付费,101,4680.05,是
3096,女,否,否,否,是,否,是,否,否,月卡,10,就餐时付费,36.25,374,否
3097,女,是,是,否,否,否,是,是,否,月卡,5,就餐时付费,85.75,470.95,是
3098,女,否,否,否,否,是,否,否,否,月卡,13,就餐时付费,74.3,940.35,是
3099,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,71,微信自动扣款,24.75,1836.9,否
3100,男,否,否,否,是,否,否,是,是,月卡,9,花呗付款,99.3,918.75,否
3101,女,否,否,是,是,否,否,否,否,年卡,42,微信自动扣款,60.15,2421.6,否
3102,男,是,否,否,是,是,否,是,是,月卡,61,就餐时付费,105.55,6281.45,是
3103,男,是,是,否,否,否,否,否,否,月卡,60,微信自动扣款,74.35,4453.3,否
3104,男,否,否,否,否,否,否,否,否,月卡,2,花呗付款,71.3,157.75,否
3105,女,否,否,否,否,是,否,是,是,月卡,39,花呗付款,50.65,1905.4,否
3106,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,15,手工转账,19.5,239.75,否
3107,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,15,手工转账,19.6,331.6,否
3108,男,否,否,否,否,否,否,否,否,月卡,7,手工转账,43.9,278.4,否
3109,女,是,否,否,否,否,是,是,是,年卡,61,微信自动扣款,101.15,6383.9,否
3110,女,是,是,否,否,是,否,否,否,月卡,19,微信自动扣款,49.6,962.9,否
3111,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,59,手工转账,25,1510.5,否
3112,男,否,是,否,否,否,否,是,是,月卡,30,就餐时付费,44.5,1307.8,否
3113,男,是,否,否,是,否,否,否,是,月卡,62,微信自动扣款,89.8,5629.55,否
3114,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,2,手工转账,19.85,35.9,是
3115,女,否,否,否,是,是,否,否,否,月卡,18,就餐时付费,77.8,1358.6,否
3116,女,是,否,否,是,否,否,否,是,月卡,20,就餐时付费,60,1259.35,否
3117,男,否,是,否,否,否,是,否,否,月卡,5,微信自动扣款,48.65,235.2,否
3118,女,是,否,否,否,是,是,否,否,月卡,42,就餐时付费,84.3,3588.4,是
3119,女,是,是,是,否,是,是,是,否,双年卡,0,微信自动扣款,52.55, ,否
3120,女,是,是,是,是,是,否,否,是,月卡,52,微信自动扣款,98.15,4993.4,否
3121,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,45,就餐时付费,19.2,903.7,否
3122,男,是,否,是,否,是,是,是,是,年卡,69,手工转账,110.55,7610.1,否
3123,女,否,否,否,否,是,否,否,否,月卡,8,微信自动扣款,74.05,600.15,否
3124,女,否,否,否,是,是,否,是,是,年卡,36,微信自动扣款,104.8,3886.45,否
3125,女,否,否,否,否,否,否,否,否,月卡,2,就餐时付费,69.7,135.2,否
3126,男,否,否,否,否,是,是,否,否,月卡,5,就餐时付费,56.15,291.45,否
3127,女,是,否,否,是,是,否,是,是,月卡,52,就餐时付费,105.05,5624.85,是
3128,女,否,否,否,否,否,否,否,是,月卡,3,就餐时付费,55.3,196.15,是
3129,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,13,就餐时付费,20.4,251.65,否
3130,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,38,花呗付款,19.6,763.1,否
3131,女,否,否,否,是,是,否,是,是,年卡,61,就餐时付费,103.95,6423,否
3132,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,16,微信自动扣款,20.25,327.45,是
3133,女,是,是,是,否,是,是,是,否,月卡,35,就餐时付费,72.25,2568.55,是
3134,女,否,是,是,否,否,否,否,否,月卡,18,手工转账,57.65,992.7,否
3135,男,是,是,否,是,否,是,否,否,双年卡,23,手工转账,59.7,1414.2,否
3136,女,否,否,否,否,是,是,否,是,年卡,46,花呗付款,69.1,3255.35,否
3137,女,否,否,否,否,否,否,否,否,月卡,1,微信自动扣款,69.7,69.7,是
3138,男,否,否,否,否,是,是,否,否,月卡,26,就餐时付费,35.75,1022.5,否
3139,男,否,否,否,是,否,否,否,否,月卡,11,就餐时付费,74.95,815.5,是
3140,女,是,是,是,是,否,否,否,否,月卡,35,花呗付款,59.45,2136.9,否
3141,女,否,否,否,否,是,否,否,否,月卡,6,就餐时付费,74.4,434.1,是
3142,男,是,否,是,是,是,是,否,是,年卡,31,花呗付款,75.5,2424.45,否
3143,女,否,否,是,是,否,否,否,否,月卡,38,花呗付款,57.15,2250.65,是
3144,男,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,69.8,69.8,是
3145,女,否,否,否,否,否,否,否,否,月卡,2,微信自动扣款,70,153.05,是
3146,女,是,否,是,否,否,否,否,否,双年卡,71,花呗付款,80.7,5676,否
3147,女,否,否,否,否,否,否,是,否,月卡,16,就餐时付费,84.75,1350.15,是
3148,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,42,手工转账,20.25,854.9,否
3149,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,56,微信自动扣款,25.95,1444.05,否
3150,女,是,否,否,否,否,是,是,否,月卡,18,就餐时付费,88.85,1594.75,否
3151,女,否,否,否,是,是,否,否,否,月卡,13,就餐时付费,54.8,731.3,否
3152,男,是,否,是,否,否,是,是,是,年卡,42,花呗付款,80.45,3375.9,否
3153,女,是,否,否,是,否,否,是,是,月卡,59,就餐时付费,101.1,6039.9,是
3154,男,否,否,是,是,否,否,否,是,月卡,26,微信自动扣款,44.65,1156.55,否
3155,男,否,是,是,是,否,是,是,是,年卡,54,就餐时付费,105.85,5826.65,否
3156,女,是,否,否,是,是,否,否,是,月卡,25,微信自动扣款,88.4,2191.15,否
3157,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,40,手工转账,24.6,973.95,否
3158,男,是,是,是,是,否,是,否,是,双年卡,8,花呗付款,76.15,645.8,否
3159,女,否,否,否,否,否,否,是,否,月卡,2,就餐时付费,80.2,146.05,是
3160,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,42,就餐时付费,19.05,761.85,否
3161,女,是,是,是,否,否,是,是,否,年卡,51,手工转账,95.15,5000.05,否
3162,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,58,花呗付款,25.15,1509.9,否
3163,男,是,否,否,是,否,否,否,是,月卡,12,花呗付款,85.05,999.8,否
3164,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,9,手工转账,20.25,172.35,否
3165,女,否,否,否,否,否,否,否,否,月卡,2,就餐时付费,45.55,84.4,否
3166,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,46,手工转账,24.95,1165.9,否
3167,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,7,就餐时付费,19.25,112.3,是
3168,男,是,是,否,否,否,否,否,否,年卡,8,手工转账,43.45,345.5,否
3169,女,否,否,否,否,否,否,否,否,月卡,16,花呗付款,74.75,1129.35,否
3170,女,否,否,否,否,否,否,否,否,月卡,16,就餐时付费,72.65,1194.3,是
3171,男,是,是,是,否,否,否,否,是,年卡,55,花呗付款,59.45,3157,否
3172,女,否,否,否,是,否,否,否,否,月卡,10,微信自动扣款,80.05,830.7,是
3173,女,否,否,否,否,否,否,是,否,月卡,5,就餐时付费,85.2,474.8,是
3174,女,否,否,是,否,是,是,否,否,年卡,52,花呗付款,57.95,3042.25,否
3175,男,是,否,否,是,是,否,是,是,月卡,70,就餐时付费,102.95,7101.5,是
3176,女,否,是,否,否,否,否,否,否,月卡,1,就餐时付费,69.65,69.65,是
3177,女,是,否,否,否,是,否,是,是,月卡,62,就餐时付费,101.35,6164.7,否
3178,男,是,否,否,是,否,否,否,是,月卡,49,花呗付款,90.05,4547.25,是
3179,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,4,手工转账,19.75,78.3,否
3180,女,是,是,是,否,否,是,是,否,月卡,17,就餐时付费,91.85,1574.45,是
3181,男,是,否,否,是,是,否,否,否,月卡,14,就餐时付费,82.65,1185,否
3182,女,否,否,是,否,否,是,否,是,年卡,59,微信自动扣款,68.7,4070.95,否
3183,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,71,微信自动扣款,24.65,1710.15,否
3184,女,否,否,是,是,否,是,否,否,年卡,47,手工转账,58.9,2813.05,否
